,nim,mori,mobs,sep,ein,fs,frac_sh_trunc,mmin,flag_out,zs,xs,ys,m_type_sh,zl_sh,mass_sh,xl_sh,yl_sh,elip_sh,pol_sh,param1_sh,m_type_sat,zl_sat,mass_sat,xl_sat,yl_sat,elip_sat,pol_sat,param1_sat,m_type_hh,zl_hh,mass_hh,xl_hh,yl_hh,elip_hh,pol_hh,param1_hh,m_type_cen,zl_cen,mass_cen,xl_cen,yl_cen,elip_cen,pol_cen,param1_cen,m_type_pert,zl_pert,mass_pert,xl_pert,yl_pert,elip_pert,pol_pert,param1_pert,vel_disp
26,3.0,24.91,22.97439,1.172562,0.5894547,0.0,-1.0,22.96879,3.0,1.46,0.01160907,-0.07314975,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.661,1545254000000.0,0.0,0.0,0.09608128,85.15086,11.82405,1.0,0.661,67466420000.0,0.0,0.0,0.2246059,132.2787,0.05051134,2.0,0.661,1.46,0.0,0.0,0.0123618,7.053626,0.0,249.69609728583734
28,3.0,22.03,22.64614,1.16168,0.4391476,0.0,-1.0,21.19863,1.0,1.95,0.03589783,-0.3158556,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.391,708070400000.0,0.0,0.0,0.3555764,-24.95217,11.73224,1.0,0.391,43257620000.0,0.0,0.0,0.341171,4.375466,0.1869392,2.0,0.391,1.95,0.0,0.0,0.104743,-100.9281,0.0,131.5988789808642
30,2.0,18.93,19.85607,2.515348,1.024302,0.0,-1.0,17.69912,3.0,2.11,-0.4769836,-0.7803962,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.292,20156350000000.0,0.0,0.0,0.1826314,139.2069,5.984449,1.0,0.292,187010500000.0,0.0,0.0,0.5249411,190.4104,0.5845789,2.0,0.292,2.11,0.0,0.0,0.05923105,106.3396,0.0,186.7524271107367
35,3.0,22.47,22.166,0.5612842,0.3844447,0.0,-1.0,19.82459,3.0,2.48,0.08732851,0.02905563,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.812,812751600000.0,0.0,0.0,0.2417964,127.6028,11.28716,1.0,0.812,26292590000.0,0.0,0.0,0.4443029,88.69443,0.1896463,2.0,0.812,2.48,0.0,0.0,0.03309825,141.3562,0.0,111.26738429015231
36,3.0,21.03,21.71751,1.027862,0.4943187,0.0,-1.0,20.19199,1.0,2.77,0.1422872,-0.2712086,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.876,1416879000000.0,0.0,0.0,0.1482355,51.86683,6.640462,1.0,0.876,55900840000.0,0.0,0.0,0.03592138,86.32306,0.09547938,2.0,0.876,2.77,0.0,0.0,0.02966788,-36.08642,0.0,162.21303929999073
37,3.0,19.93,21.68627,0.2956752,0.1187402,0.0,-1.0,19.46421,1.0,2.3,0.1433606,-0.05424091,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.13,521605600000.0,0.0,0.0,0.307191,-119.9606,3.254228,1.0,1.13,11104040000.0,0.0,0.0,0.2969518,-169.6211,0.05022598,2.0,1.13,2.3,0.0,0.0,0.01211707,-126.1614,0.0,94.83701422916504
38,5.0,21.55,20.75561,8.254323,3.579056,0.0,-1.0,19.52899,3.0,3.44,-0.1243413,-0.9789841,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.629,46764180000000.0,0.0,0.0,0.5862618,61.95197,8.313491,1.0,0.629,231391600000.0,0.0,0.0,0.2914257,47.625,0.3647344,2.0,0.629,3.44,0.0,0.0,0.04647184,92.673,0.0,245.63101262347772
39,3.0,22.49,21.61254,0.7832237,0.3883116,0.0,-1.0,21.3989,1.0,2.59,0.009797487,-0.1139642,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.639,936607100000.0,0.0,0.0,0.2777528,7.958411,5.170062,1.0,0.639,31936280000.0,0.0,0.0,0.5074394,56.39909,0.08627514,2.0,0.639,2.59,0.0,0.0,0.1070703,-46.71489,0.0,133.95625970048107
42,3.0,23.79,22.96007,0.1784921,0.09603344,0.0,-1.0,22.03175,3.0,1.52,0.009786078,-0.03303981,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.323,1325364000000.0,0.0,0.0,0.638389,-60.90372,6.176302,1.0,1.323,44554680000.0,0.0,0.0,0.2453468,-72.34002,0.1193806,2.0,1.323,1.52,0.0,0.0,0.01532994,61.45177,0.0,134.75852528406088
43,3.0,23.23,23.09508,2.421435,1.381503,0.0,-1.0,21.87542,3.0,2.22,-0.3231447,0.1211248,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.917,79583840000000.0,0.0,0.0,0.3918188,-81.90482,3.010128,1.0,0.917,281800700000.0,0.0,0.0,0.3696221,-52.14316,0.304453,2.0,0.917,2.22,0.0,0.0,0.05470558,118.2133,0.0,224.77683444373065
45,3.0,20.75,22.46903,1.037024,0.4412937,0.0,-1.0,20.26387,1.0,1.95,0.2507483,0.4118619,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.745,1723188000000.0,0.0,0.0,0.2545904,65.42625,5.197212,1.0,0.745,57823070000.0,0.0,0.0,0.3720191,43.30424,0.08686463,2.0,0.745,1.95,0.0,0.0,0.03811516,-36.381,0.0,173.37848072059865
50,5.0,23.37,22.2682,5.646457,2.855239,0.0,-1.0,21.39299,3.0,3.05,-0.4424325,-0.3462472,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.406,23286110000000.0,0.0,0.0,0.4076365,-91.99919,10.35752,1.0,0.406,170549700000.0,0.0,0.0,0.3669971,-103.3567,0.6432397,2.0,0.406,3.05,0.0,0.0,0.08744896,95.16976,0.0,225.26264322632966
53,3.0,20.17,21.60402,0.6239041,0.2276192,0.0,-1.0,19.6516,1.0,1.81,0.04462944,0.225747,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.946,1001110000000.0,0.0,0.0,0.3170155,42.34915,6.214221,1.0,0.946,37613980000.0,0.0,0.0,0.5111777,25.53804,0.07091984,2.0,0.946,1.81,0.0,0.0,0.03719927,33.90149,0.0,150.86629738239435
55,3.0,22.01,21.33845,4.535685,1.90138,0.0,-1.0,20.67655,3.0,3.4,0.1268067,-0.5765719,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.404,27947890000000.0,0.0,0.0,0.2965377,156.763,8.205215,1.0,0.404,219538100000.0,0.0,0.0,0.3474167,202.7721,0.4639296,2.0,0.404,3.4,0.0,0.0,0.08866355,-58.69397,0.0,221.05013696138172
56,3.0,22.63,22.92274,0.8234825,0.3862306,0.0,-1.0,21.49962,1.0,4.45,-0.1395161,-0.1406421,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.087,1304054000000.0,0.0,0.0,0.1532094,131.0797,5.301036,1.0,1.087,42409590000.0,0.0,0.0,0.1692523,144.244,0.1178424,2.0,1.087,4.45,0.0,0.0,0.03643596,-112.2715,0.0,129.16415320779143
