,zl,m_h,m_acc,e_h,p_h,con,m_g,e_g,p_g,tb,vel_disp
31000,1.041,192752500000.0,0.0,0.105853,46.26703,8.516834,1239521000.0,0.2043308,67.62628,0.08633289,48.39191307590416
32000,1.157,254683000000.0,0.0,0.3499887,-20.75647,3.751655,2486922000.0,0.459806,-18.88456,0.05924137,46.97066797330485
33000,1.267,161808000000.0,0.0,0.3225283,44.96386,6.11422,976052600.0,0.2436842,27.82204,0.0971705,43.17591764708582
34000,1.372,112460500000.0,0.0,0.2168907,-137.3874,4.540243,451641200.0,0.5996155,-115.7708,0.1010381,34.65905590585079
35000,1.475,157036300000.0,0.0,0.4189524,19.42519,5.014149,741584000.0,0.1933192,9.83488,0.05799741,36.9024036670885
36000,1.577,469894100000.0,0.0,0.1967412,92.39327,2.450974,7077551000.0,0.3456886,96.44195,0.05684676,72.46178718632059
37000,1.678,2187762000000.0,0.0,0.3071922,154.353,2.625283,80492700000.0,0.474877,131.6541,0.1762781,143.21396755042963
38000,1.78,347536200000.0,0.0,0.212435,-47.19547,3.357764,2567968000.0,0.2056643,-49.14379,0.08953713,49.31823548719419
39000,1.883,130918200000.0,0.0,0.4057991,-175.1688,3.663931,448557500.0,0.301754,-174.2841,0.04160319,31.03683349539347
40000,1.988,163305200000.0,0.0,0.3289321,-10.16446,2.958612,551139900.0,0.5028275,48.65437,0.08378947,34.75273751450917
41000,2.096,202768300000.0,0.0,0.219251,171.1289,5.806338,1258931000.0,0.3447854,150.277,0.0527919,49.33875965831616
42000,2.21,179473400000.0,0.0,0.1847618,-59.54855,2.474476,653865500.0,0.2954346,-76.59433,0.04267127,33.04690192857812
43000,2.326,118850200000.0,0.0,0.160686,-54.35576,5.120469,233937300.0,0.1475304,-102.7127,0.07812605,42.11278224991519
44000,2.447,387257600000.0,0.0,0.2686028,-132.7675,2.556944,3079716000.0,0.2075975,-163.5788,0.02132244,77.52211571917375
45000,2.577,148251800000.0,0.0,0.1401841,92.73442,1.709051,529395300.0,0.2622416,187.1847,0.08202134,31.42302231644995
46000,2.716,136144500000.0,0.0,0.1183572,-109.617,3.835881,404704900.0,0.2882287,-156.5355,0.06963078,40.21128707906592
47000,2.867,242102900000.0,0.0,0.378526,174.3922,6.321468,1451331000.0,0.1830324,187.9372,0.08266985,65.77212519662135
48000,3.032,127643900000.0,0.0,0.2800684,163.8979,7.975387,333823800.0,0.2972975,187.8167,0.05803164,56.22157212923744
49000,3.216,103514200000.0,0.0,0.3679542,38.27484,4.685887,303433000.0,0.3031332,48.87026,0.1030314,50.85440419065934
50000,3.422,134896300000.0,0.0,0.3218319,-162.6808,3.485185,579564400.0,0.638734,-184.0054,0.08915498,47.38903753740709
51000,3.665,1145513000000.0,0.0,0.310377,-29.80093,3.314313,15172580000.0,0.1047613,13.88641,0.1231982,107.02215900382986
52000,3.964,128825000000.0,0.0,0.3590625,-25.96462,3.058943,644837600.0,0.2546417,-20.45438,0.1525909,56.71275754108049
53000,4.371,113240000000.0,0.0,0.1746388,-38.66677,4.741002,366616000.0,0.4201204,-18.27256,0.1192189,63.95213043814292
54000,0.189,2654606000000.0,0.0,0.1422243,-95.06702,11.54648,54557580000.0,0.5863789,-53.35753,0.3837708,142.5233693707168
55000,0.589,155596600000.0,0.0,0.1935949,-169.9151,22.8155,879858900.0,0.2940754,-125.6298,0.1276464,68.91784972661084
56000,0.771,413999700000.0,0.0,0.1468198,164.2356,6.569849,6218348000.0,0.2862682,162.1544,0.157349,62.35088283230826
57000,0.914,167880400000.0,0.0,0.1815479,-30.98409,11.50786,1143566000.0,0.4084303,-35.45226,0.1011425,53.68057155333015
58000,1.04,236047800000.0,0.0,0.2334725,-36.3662,8.441501,2779238000.0,0.467076,-30.15932,0.1034997,56.97588600355191
59000,1.155,432513800000.0,0.0,0.1816701,1.686467,7.563057,5971528000.0,0.2813997,80.18792,0.1087782,70.11059556375452
60000,1.265,121618600000.0,0.0,0.5133699,-138.767,6.06109,336421500.0,0.3373171,-190.7244,0.08602774,36.57374012648853
61000,1.369,103038600000.0,0.0,0.3097709,39.4023,7.688753,223108000.0,0.1282617,37.38452,0.06670811,37.60577233268529
62000,1.471,396278000000.0,0.0,0.0364738,-152.1735,3.160235,3781404000.0,0.2823551,-178.0933,0.1638876,52.21948370398589
63000,1.573,242661000000.0,0.0,0.288455,-141.4768,5.283873,1032645000.0,0.5317587,-147.9879,0.08830292,46.10706101984248
64000,1.674,3784426000000.0,0.0,0.0967629,133.7933,3.643906,108610400000.0,0.103311,44.02228,0.11005,201.34346500830637
65000,1.776,135518900000.0,0.0,0.00030588,-16.00902,6.542167,482913700.0,0.1267307,-42.09026,0.04973163,39.64546596598327
66000,1.878,334195000000.0,0.0,0.1100794,-44.67617,3.579663,2576327000.0,0.5554413,-50.67894,0.06273629,51.40463124214458
67000,1.983,177827900000.0,0.0,0.4096137,24.93723,6.161784,842954300.0,0.5649762,53.60831,0.09707551,52.202997305963656
68000,2.09,487528500000.0,0.0,0.4290061,120.0897,4.126787,4833905000.0,0.3104606,115.1216,0.06357365,67.52124516946768
69000,2.202,126182800000.0,0.0,0.3174452,-57.555,6.69424,247491900.0,0.155389,-26.48587,0.05318905,42.09020848346862
70000,2.319,228559900000.0,0.0,0.3763465,2.524946,5.718402,980275400.0,0.5430547,-2.679968,0.05780055,50.46088278901099
71000,2.44,123879700000.0,0.0,0.1770082,-80.0453,3.113907,302298000.0,0.3244015,-51.57821,0.06262716,32.672639638998234
72000,2.568,366437600000.0,0.0,0.4172859,-19.24432,2.117664,2394822000.0,0.3355937,-4.633801,0.07416343,48.77455137696484
73000,2.707,109900600000.0,0.0,0.03570943,106.2842,4.804409,415508100.0,0.3027495,103.2138,0.1197279,50.51976167787791
74000,2.855,144877200000.0,0.0,0.4321403,88.99407,4.285386,667119700.0,0.2294021,156.5171,0.1161342,52.35550856773647
75000,3.017,1570363000000.0,0.0,0.2546493,11.62657,2.246952,31961680000.0,0.302584,42.74222,0.1442263,115.7983163607996
76000,3.197,114287800000.0,0.0,0.3269092,41.71668,4.136093,245688800.0,0.4362679,34.19325,0.2723983,65.59481825997011
77000,3.4,188799100000.0,0.0,0.2023622,-155.2073,2.931922,752683000.0,0.2469737,-189.2692,0.1102343,50.423675826755584
78000,3.644,295801200000.0,0.0,0.2602314,51.00549,5.74101,2582837000.0,0.3729298,-5.978973,0.09809794,79.60216379732208
79000,3.948,202768300000.0,0.0,0.1778745,-24.04621,4.681641,1275917000.0,0.3123775,-28.48216,0.05086503,58.62883303136319
80000,4.349,114551300000.0,0.0,0.2393812,-30.44238,3.81561,374022300.0,0.4030364,-53.04,0.07705891,50.51157427278688
81000,4.99,106659600000.0,0.0,0.306394,-104.6861,4.752514,468327000.0,0.1140621,-105.3311,0.1197135,68.02971762064827
82000,0.575,353997300000.0,0.0,0.1779011,-149.4444,7.413384,6972976000.0,0.3513757,-157.1435,0.1715538,62.910508473270745
83000,0.762,314774800000.0,0.0,0.3066606,125.7153,8.733132,5157850000.0,0.08606017,107.7355,0.07507997,66.51330559537574
84000,0.908,5023426000000.0,0.0,0.3151394,-175.8824,5.271185,86525180000.0,0.2758428,-277.765,0.1545141,165.7092658517422
85000,1.035,211348900000.0,0.0,0.06870417,177.5601,11.04868,1574545000.0,0.4904886,214.9799,0.1999372,68.66100990311433
86000,1.151,490907900000.0,0.0,0.1085347,-142.097,3.451073,6465106000.0,0.2692476,-101.6153,0.05402157,72.05976964835948
87000,1.262,179060600000.0,0.0,0.2555593,36.06203,7.157274,919481200.0,0.2248129,59.69274,0.1032513,47.61071230985154
88000,1.366,101157900000000.0,0.0,0.3607857,-27.20392,4.26088,206742800000.0,0.3494304,-43.67563,0.07626202,330.8992117364367
89000,1.47,110662400000.0,0.0,0.2751503,-1.150264,9.00219,435826200.0,0.5927074,27.41903,0.1087801,50.627037980104085
90000,1.572,108392700000.0,0.0,0.3061177,-168.7538,5.489758,435714700.0,0.3984499,-196.4227,0.03054711,32.41031689570173
91000,1.674,237137400000.0,0.0,0.1530996,48.61944,5.867947,1251883000.0,0.2499492,41.5727,0.09553461,51.20356171795919
92000,1.777,172186900000.0,0.0,0.2755013,179.904,4.584724,571881800.0,0.01023002,122.0863,0.1164734,44.36394600456692
93000,1.88,452897600000.0,0.0,0.4537761,117.6119,4.16772,5162912000.0,0.4667617,92.28543,0.1212721,64.68606534607146
94000,1.985,1140250000000.0,0.0,0.3289222,-143.3635,3.121907,13995190000.0,0.4202908,-127.5934,0.04194931,116.56103821380589
95000,2.093,175792400000.0,0.0,0.3728043,117.7849,9.009249,726133600.0,0.2946544,89.17173,0.05252445,54.363913079022055
96000,2.203,219786000000.0,0.0,0.3551503,148.6395,4.979182,878502900.0,0.4338226,70.06166,0.1084679,53.21650031086804
97000,2.318,550807700000.0,0.0,0.2155336,-170.2588,1.828702,7350935000.0,0.3248659,-188.2753,0.107273,63.60458908558604
98000,2.441,108893000000.0,0.0,0.1106599,-171.9694,9.281882,204610800.0,0.2849691,-168.5237,0.05475503,51.404475846370254
99000,2.569,172981600000.0,0.0,0.3448436,124.8016,4.248217,752329000.0,0.4281892,138.7044,0.07925489,46.33253337003557
100000,2.707,105681800000.0,0.0,0.01944011,-12.61596,4.827955,319024800.0,0.2466477,-61.43658,0.0885152,45.355766501480765
101000,2.854,104954200000.0,0.0,0.1459775,-159.537,2.403017,254006800.0,0.4283797,-128.6708,0.08542376,33.48434378078372
102000,3.02,458141900000.0,0.0,0.1738101,-26.01398,2.366391,4384143000.0,0.2245901,2.588393,0.02996615,81.70689834888181
103000,3.199,946237200000.0,0.0,0.3974014,142.1843,3.141583,13564090000.0,0.08086464,195.6214,0.06930456,104.47314223368136
104000,3.411,100461600000.0,0.0,0.07807752,97.60676,5.578273,322882200.0,0.6737542,69.84185,0.09047658,54.35756970137952
105000,3.649,163305200000.0,0.0,0.0005342193,145.9441,1.996271,720021400.0,0.1128107,131.9813,0.0880013,41.36147266980641
106000,3.95,228034200000.0,0.0,0.4754705,-113.0198,2.342396,1742912000.0,0.307198,-29.79353,0.06996258,51.924200744118856
107000,4.357,341979400000.0,0.0,0.1625734,-147.6231,2.019011,2812164000.0,0.192467,-96.25973,0.05727334,61.56593235208109
108000,0.161,252348100000.0,0.0,0.3382616,-44.65944,12.02293,5044537000.0,0.2309588,-82.0673,0.17204,67.0191182881911
109000,0.581,1559553000000.0,0.0,0.434796,25.2584,8.67237,55577790000.0,0.1192209,-21.49948,0.08994599,178.34770346797262
110000,0.767,979490000000.0,0.0,0.3154402,-147.5308,9.302455,27143070000.0,0.08225032,-201.3287,0.0966271,122.55930941440802
111000,0.911,142560800000.0,0.0,0.3603644,-106.8109,8.707948,514485100.0,0.1471263,-117.7461,0.05756253,37.41522382665374
112000,1.039,111943800000.0,0.0,0.4926601,9.06096,6.47135,654669000.0,0.4060622,66.90017,0.1719127,43.32158186042616
113000,1.154,262421900000.0,0.0,0.2374692,-108.481,5.370436,2348113000.0,0.1901661,-94.97794,0.06780548,48.621435767374216
114000,1.264,181970100000.0,0.0,0.2229431,-66.75315,9.578169,937658000.0,0.2664705,0.5682427,0.1017713,55.07459846760281
115000,1.368,395366600000.0,0.0,0.1438834,82.1125,3.402077,6321544000.0,0.3064574,93.94091,0.09377135,60.53679100850047
116000,1.47,204644500000.0,0.0,0.02075513,-130.9513,7.926695,882315300.0,0.2559387,-78.49641,0.09358578,52.94758234578966
117000,1.572,462381000000.0,0.0,0.1492668,-137.5495,4.290285,6181129000.0,0.3268134,-90.42231,0.07564647,67.25497699116315
118000,1.674,147231300000.0,0.0,0.1479125,-116.4454,6.476655,602764300.0,0.3543934,-93.34367,0.1234137,50.43683246483742
119000,1.777,181134000000.0,0.0,0.431889,-19.31992,8.139637,1034789000.0,0.3639167,-26.29183,0.05663962,51.37451522238538
120000,1.881,514043700000.0,0.0,0.2470952,113.457,3.305303,6116284000.0,0.6654815,113.7325,0.1531712,64.08546530754516
121000,1.988,165958700000.0,0.0,0.1577067,-169.7299,6.894265,850365400.0,0.3226334,-156.4744,0.05099994,47.15466391698559
122000,2.096,135831300000.0,0.0,0.3372626,-130.9043,3.227432,376403700.0,0.3229734,-141.5966,0.04975379,30.662157392814628
123000,2.207,100461600000.0,0.0,0.1140329,-127.7979,2.260713,309885600.0,0.3153371,-167.5687,0.06414341,27.07321649870413
124000,2.323,116144900000.0,0.0,0.3230618,168.828,5.038478,414217900.0,0.1201506,213.1824,0.1550043,52.48830373845968
125000,2.444,160694100000.0,0.0,0.1393111,72.92992,2.742505,580612600.0,0.5309228,1.665827,0.04615626,33.73779282322741
126000,2.573,201372400000.0,0.0,0.2718818,9.64682,2.360357,923801900.0,0.1132266,18.67204,0.04853158,37.69781993498958
127000,2.71,1213389000000.0,0.0,0.2526527,-68.38093,2.875334,18351390000.0,0.3407629,-81.18865,0.08730259,105.69708091018684
128000,2.854,1285287000000.0,0.0,0.1859677,76.01121,2.692076,18791890000.0,0.2795611,39.46157,0.08707459,107.42829429917424
129000,3.016,365594800000.0,0.0,0.2020662,-8.858659,6.780783,3268938000.0,0.09532673,25.97313,0.03957254,77.77277911955179
130000,3.194,526017300000.0,0.0,0.2699786,-61.58168,3.478922,5053237000.0,0.3422336,-54.46917,0.08154524,73.76694452044232
131000,3.4,191866900000.0,0.0,0.1469804,134.6695,3.766866,813375600.0,0.01368375,89.56154,0.09755394,54.44433718480063
132000,3.643,143218800000.0,0.0,0.0567687,51.99127,2.009898,497586000.0,0.309952,82.96565,0.1075517,41.69575223071452
133000,3.942,109395600000.0,0.0,0.2024651,-86.27221,1.837048,419404700.0,0.1765883,-56.57329,0.1659097,46.00000152215072
134000,4.327,105438700000.0,0.0,0.2315386,34.54169,3.386503,357503800.0,0.5873774,1.963527,0.0899148,49.3447751591814
135000,4.95,109647800000.0,0.0,0.301218,-147.9456,2.665899,419582700.0,0.4321966,-165.4168,0.1136909,52.381724399067295
136000,0.569,117760600000.0,0.0,0.4283246,-46.94245,3.360178,923229200.0,0.2779621,-70.2259,0.1234174,27.76146334759923
137000,0.758,121059800000.0,0.0,0.2542283,9.128328,13.83681,543579700.0,0.239489,59.6565,0.1055995,50.47254022329847
138000,0.903,156314800000.0,0.0,0.2798736,-101.5484,6.22467,1682314000.0,0.1451288,-158.045,0.03189384,50.35772511374156
139000,1.031,190107800000.0,0.0,0.2556032,103.5591,4.226378,1313294000.0,0.2836365,154.1977,0.1133629,37.952689961075535
140000,1.147,189670600000.0,0.0,0.2946638,-11.65725,5.114033,1602889000.0,0.1899109,-69.64895,0.0717285,42.01141784273021
141000,1.256,135518900000.0,0.0,0.3743733,2.860349,6.015199,563668400.0,0.404745,-71.36055,0.07417776,37.036919458008406
142000,1.361,179887100000.0,0.0,0.2414449,-98.55193,6.367062,979370800.0,0.4707294,-120.2764,0.1060018,46.92957319959036
143000,1.465,1651962000000.0,0.0,0.1930929,-107.259,4.767724,46635180000.0,0.4260547,-77.31015,0.0808314,155.04157444682798
144000,1.567,5997911000000.0,0.0,0.2271805,-11.11039,4.504157,77974940000.0,0.2616358,-14.80145,0.1742419,158.4407537017388
145000,1.669,115080000000.0,0.0,0.2531301,67.04073,4.820105,300508900.0,0.416609,104.5671,0.1415719,42.52963429044377
146000,1.769,1479108000000.0,0.0,0.01055434,-70.12637,4.018457,29045170000.0,0.2334535,-106.4393,0.10097,117.46713888541252
147000,1.872,193642200000.0,0.0,0.3472934,59.204,5.380763,1020959000.0,0.3521453,31.17696,0.1006406,49.61560964936173
148000,1.977,433510900000.0,0.0,0.3791463,47.77549,2.565032,3427336000.0,0.2070589,29.98642,0.04880187,57.91035370673099
149000,2.086,141253800000.0,0.0,0.2380715,101.4348,5.084066,320658400.0,0.1400299,97.62956,0.05664594,37.74965325524611
150000,2.198,119949900000.0,0.0,0.2647657,149.4236,4.845068,338068700.0,0.3944138,145.5833,0.1751548,52.332719418613735
151000,2.313,101859100000.0,0.0,0.2097148,121.8115,4.439793,185275700.0,0.3511546,132.323,0.07185903,36.68722654761992
152000,2.435,211348900000.0,0.0,0.1445511,-75.72693,3.460507,680800700.0,0.3347575,-86.24673,0.1720779,53.732253972938025
153000,2.562,109395600000.0,0.0,0.4807694,147.8185,6.134794,328244800.0,0.1456833,124.1462,0.1206802,54.96292459519762
154000,2.699,512861400000.0,0.0,0.1069831,73.8638,3.112749,4660809000.0,0.3561449,147.4548,0.1009885,66.0725599419335
155000,2.845,190546100000.0,0.0,0.4482816,-26.69972,5.12405,791827500.0,0.0912398,-33.73243,0.1259691,61.70113151764878
156000,3.007,108893000000.0,0.0,0.2278887,-160.5501,4.839218,369519900.0,0.2853391,-216.3824,0.07995991,46.856876996766495
157000,3.185,104954200000.0,0.0,0.2918426,-153.446,3.108625,407758700.0,0.1450593,-127.4987,0.06245576,37.0347496191096
158000,3.387,200447200000.0,0.0,0.191181,21.0432,2.870218,1253411000.0,0.1493324,55.57996,0.06684655,47.64346459894622
159000,3.632,111686300000.0,0.0,0.142015,82.68963,3.99077,377074000.0,0.4108428,74.97729,0.1257693,54.6863309523263
160000,3.924,158124800000.0,0.0,0.4269114,-47.40344,2.512022,853975600.0,0.5551618,-62.76823,0.09041742,47.28434135993336
161000,4.319,169433800000.0,0.0,0.3815611,148.5661,2.992251,618966200.0,0.2808265,134.8786,0.09954275,53.98984685098
162000,4.945,130918200000.0,0.0,0.1459154,7.541489,4.431553,710500400.0,0.3573219,20.54489,0.07753418,61.18213968543541
163000,0.564,175388100000.0,0.0,0.2162911,167.2872,10.49985,1310602000.0,0.2371013,163.7501,0.2165532,53.7734888472304
164000,0.755,100230500000.0,0.0,0.07501883,-145.2794,6.971398,392634100.0,0.376009,-171.1127,0.2121159,40.86689133308064
165000,0.902,137404200000.0,0.0,0.4282181,-149.5113,7.576875,812981500.0,0.1789406,-178.4057,0.166237,46.27339323416104
166000,1.026,516416400000.0,0.0,0.4081135,159.8372,4.033252,14936960000.0,0.4301497,190.4885,0.08897784,87.29201486586446
167000,1.143,368129000000.0,0.0,0.4482463,-70.80407,5.560327,5905820000.0,0.332399,-62.98557,0.0781976,65.29510412339674
168000,1.252,299916300000.0,0.0,0.2899225,137.8503,6.96052,2766911000.0,0.5123323,141.499,0.04997688,57.70036459293211
169000,1.358,100693200000.0,0.0,0.3093641,-42.75383,5.454755,385516100.0,0.240397,-11.03806,0.07684921,33.85568646800466
170000,1.461,197242300000.0,0.0,0.4598326,-103.2084,5.018474,1081700000.0,0.2237183,-106.8967,0.1018864,43.97828026230186
171000,1.562,306902200000.0,0.0,0.1009435,-135.0104,3.122774,3238336000.0,0.3306484,-120.0643,0.09072767,48.90756218607405
172000,1.663,438530700000.0,0.0,0.319739,111.4262,3.614207,3711524000.0,0.3383424,105.0492,0.04203397,63.44522293654257
173000,1.765,749894200000.0,0.0,0.1138301,-105.1837,3.654654,13162530000.0,0.2712122,-79.03822,0.08485638,87.35187400561928
174000,1.866,112979600000.0,0.0,0.139287,-143.9096,5.224078,339432400.0,0.3127419,-144.4792,0.08080366,38.96923029156334
175000,1.972,100693200000.0,0.0,0.2057372,-170.9961,6.896906,324070400.0,0.03789297,-159.9919,0.0949752,47.032560431827925
176000,2.08,133352100000.0,0.0,0.06521445,-116.5157,10.12077,410737000.0,0.3085353,-116.5373,0.1130512,65.72773602070667
177000,2.19,114287800000.0,0.0,0.1759277,-69.65465,5.247757,294699900.0,0.4166674,-84.70032,0.04968548,36.27559986531263
178000,2.306,216271900000.0,0.0,0.2410428,-99.60521,3.131278,999823300.0,0.1784112,-96.65596,0.1042687,44.27887042365226
179000,2.426,194536000000.0,0.0,0.5396653,48.88525,2.737841,1055859000.0,0.4065523,7.499125,0.07301936,40.03639734011387
180000,2.553,210377800000.0,0.0,0.0466196,-25.2613,2.673415,948696000.0,0.3107343,1.858781,0.08349922,41.149550839150216
181000,2.688,372391700000.0,0.0,0.3113818,-82.6582,2.548211,2313192000.0,0.4488351,-92.36007,0.05214321,52.6570964566277
182000,2.837,101157900000.0,0.0,0.4819888,-37.84906,4.908081,289659700.0,0.4257792,-37.19942,0.08263065,45.23735296718104
183000,2.996,146554800000.0,0.0,0.07873412,107.4395,4.032686,537672800.0,0.2231683,22.64935,0.09242233,48.32148506814848
184000,3.174,1233105000000.0,0.0,0.3837956,-153.3848,4.181169,19323530000.0,0.3265621,-135.0166,0.06673846,126.50019889078877
185000,3.382,190107800000.0,0.0,0.3635271,-12.69107,2.825232,853798800.0,0.6042715,20.38017,0.1217945,51.48372437691715
186000,3.623,143548900000.0,0.0,0.3101531,-13.30021,3.641043,782937500.0,0.3468564,42.79476,0.08474296,50.52089602543332
187000,3.914,179887100000.0,0.0,0.2423604,131.8711,5.259818,733552200.0,0.2518064,130.332,0.1211662,71.30638364430307
188000,4.307,126473600000.0,0.0,0.3162259,-30.17262,3.760368,626266500.0,0.4518603,-27.35653,0.1015357,56.642447627958425
189000,4.932,161435900000.0,0.0,0.2266854,105.6917,3.559472,619835200.0,0.2622438,62.80378,0.1074758,63.18241904391285
190000,0.557,212813900000.0,0.0,0.1712199,-138.5975,9.695251,2479881000.0,0.2305192,-168.5066,0.04062254,60.1986522124628
191000,0.75,118576900000.0,0.0,0.2947425,-13.92381,5.577095,767714600.0,0.4130501,-31.20167,0.1047869,33.19321847156739
192000,0.896,289068000000.0,0.0,0.3063507,-58.22103,5.895714,4465823000.0,0.4464047,-71.3607,0.08427477,57.318277870321324
193000,1.024,433510900000.0,0.0,0.1139461,15.06829,6.881868,10185120000.0,0.2549009,14.63286,0.07075284,84.6862016475136
194000,1.141,117219500000.0,0.0,0.2243782,51.54375,6.958366,364020600.0,0.4503109,19.88589,0.1093986,40.30313342747106
195000,1.25,138995300000.0,0.0,0.2162521,158.6471,9.322525,663761000.0,0.4671012,196.63,0.07007966,45.86004684999227
196000,1.352,400866700000.0,0.0,0.197668,-163.806,6.012479,4177757000.0,0.2008876,-145.722,0.03346543,74.34982723706835
197000,1.456,16788040000000.0,0.0,0.1116953,0.8661585,3.741288,78662400000.0,0.2718734,-40.16464,0.1639677,163.18786051664003
198000,1.558,442588400000.0,0.0,0.1655117,-36.25123,5.55502,4550780000.0,0.1071923,-56.60879,0.08875365,64.40402642793256
199000,1.659,103276100000.0,0.0,0.1388186,59.15597,3.581463,207498000.0,0.00511821,84.2692,0.04790278,25.674718161530304
200000,1.76,609536900000.0,0.0,0.3472193,-176.0141,4.469458,6983309000.0,0.1853291,-150.17,0.06049442,76.71020107927485
201000,1.863,213304500000.0,0.0,0.09352452,-174.5107,3.464214,851290200.0,0.4317271,-122.5652,0.1009431,40.96452848941261
202000,1.969,291742700000.0,0.0,0.1755043,-139.3448,4.23242,1912824000.0,0.1549874,-139.4123,0.06171126,49.7641324317976
203000,2.077,448745400000.0,0.0,0.2229983,-80.50157,4.505459,3344945000.0,0.2231217,-28.2369,0.03529747,68.04201632902364
204000,2.188,207491400000.0,0.0,0.06737898,123.5851,5.164224,912063000.0,0.126883,140.5663,0.0335065,44.52881955531023
205000,2.304,105681800000.0,0.0,0.2232567,-12.21406,2.448687,295491800.0,0.3288309,2.724214,0.1018513,32.45239542307966
206000,2.424,180301800000.0,0.0,0.2496669,-23.70099,2.698722,726919500.0,0.5822223,2.03619,0.06388085,36.44177670315476
207000,2.55,125603000000.0,0.0,0.2676905,112.9673,6.044524,252765700.0,0.4451032,93.22325,0.1109346,54.40008031566586
208000,2.688,251188600000.0,0.0,0.268368,80.27779,5.073912,1645720000.0,0.5126729,171.0568,0.1191856,64.26461009855718
